gene	individual	counts	tissue	sex	path
_scaffold_1_000594.1	indv_1	1824	flowers	male	rddm
_scaffold_1_000595.1	indv_1	1920	flowers	male	rddm
_scaffold_1_000596.1	indv_1	2232	flowers	male	rddm
_scaffold_1_000597.1	indv_1	2712	flowers	male	rddm
_scaffold_1_000598.1	indv_1	2352	flowers	male	rddm
_scaffold_1_003585.1	indv_1	528	flowers	male	rddm
_scaffold_1_003582.1	indv_1	312	flowers	male	rddm
_scaffold_1_003579.1	indv_1	3960	flowers	male	rddm
_scaffold_1_003575.1	indv_1	552	flowers	male	rddm
_scaffold_1_000600.1	indv_1	504	flowers	male	rddm
_scaffold_1_003574.1	indv_1	576	flowers	male	rddm
_scaffold_1_000601.1	indv_1	1896	flowers	male	rddm
_scaffold_1_003573.1	indv_1	432	flowers	male	rddm
_scaffold_1_003572.1	indv_1	7535	flowers	male	rddm
_scaffold_1_000606.1	indv_1	1440	flowers	male	rddm
_scaffold_1_000607.1	indv_1	1560	flowers	male	rddm
_scaffold_1_000608.1	indv_1	2568	flowers	male	rddm
_scaffold_1_000609.1	indv_1	2232	flowers	male	rddm
_scaffold_1_003571.1	indv_1	5712	flowers	male	rddm
_scaffold_1_000611.1	indv_1	984	flowers	male	rddm
_scaffold_1_000612.1	indv_1	2160	flowers	male	rddm
_scaffold_1_000613.1	indv_1	288	flowers	male	rddm
_scaffold_1_000614.1	indv_1	696	flowers	male	rddm
_scaffold_1_003569.1	indv_1	768	flowers	male	rddm
_scaffold_1_000615.1	indv_1	744	flowers	male	rddm
_scaffold_1_000616.1	indv_1	240	flowers	male	rddm
_scaffold_1_003568.1	indv_1	288	flowers	male	rddm
_scaffold_1_003567.1	indv_1	2040	flowers	male	rddm
_scaffold_1_003566.1	indv_1	3631	flowers	male	rddm
_scaffold_1_000617.1	indv_1	1992	flowers	male	rddm
_scaffold_1_003565.1	indv_1	1992	flowers	male	rddm
_scaffold_1_003564.1	indv_1	2568	flowers	male	rddm
_scaffold_1_003563.1	indv_1	3216	flowers	male	rddm
_scaffold_1_003562.1	indv_1	2823	flowers	male	rddm
_scaffold_1_003561.1	indv_1	162	flowers	male	rddm
_scaffold_1_003559.1	indv_1	216	flowers	male	rddm
_scaffold_1_003557.1	indv_1	3886	flowers	male	rddm
_scaffold_1_003555.1	indv_1	2448	flowers	male	rddm
_scaffold_1_003553.1	indv_1	816	flowers	male	rddm
_scaffold_1_000619.1	indv_1	432	flowers	male	rddm
_scaffold_1_000620.1	indv_1	2688	flowers	male	rddm
_scaffold_1_003548.1	indv_1	1080	flowers	male	rddm
_scaffold_1_000621.1	indv_1	840	flowers	male	rddm
_scaffold_1_000624.1	indv_1	2472	flowers	male	rddm
_scaffold_1_003544.1	indv_1	1320	flowers	male	rddm
_scaffold_1_000626.1	indv_1	1344	flowers	male	rddm
_scaffold_1_003543.1	indv_1	1335	flowers	male	rddm
_scaffold_1_003542.1	indv_1	936	flowers	male	rddm
_scaffold_1_003541.1	indv_1	2448	flowers	male	rddm
_scaffold_1_000630.1	indv_1	168	flowers	male	rddm
_scaffold_1_000631.1	indv_1	48	flowers	male	rddm
_scaffold_1_000645.1	indv_1	1440	flowers	male	rddm
_scaffold_1_000646.1	indv_1	672	flowers	male	rddm
_scaffold_1_003538.1	indv_1	2760	flowers	male	rddm
_scaffold_1_000649.1	indv_1	1392	flowers	male	rddm
_scaffold_1_003537.1	indv_1	2880	flowers	male	rddm
_scaffold_1_003536.1	indv_1	336	flowers	male	rddm
